timestamp_s,x,y,z,qx,qy,qz,qw
1773245342.037747,-0.000318,-0.000089,0.139443,0.001058,-0.000438,-0.000153,0.999999
1773245342.071557,-0.000290,-0.000078,0.139761,0.001197,-0.000430,-0.000160,0.999999
1773245342.115981,-0.000199,-0.000060,0.139903,0.001229,-0.000392,-0.000155,0.999999
1773245342.138505,-0.000199,-0.000060,0.139903,0.001229,-0.000392,-0.000155,0.999999
1773245342.172363,-0.000401,-0.000200,0.139544,0.001631,-0.000429,-0.000189,0.999999
1773245342.204496,-0.000216,-0.000208,0.139755,0.001539,-0.000421,-0.000181,0.999999
1773245342.237663,-0.000404,-0.000163,0.139486,0.001518,-0.000434,-0.000183,0.999999
1773245342.272583,-0.000316,-0.000072,0.139581,0.001593,-0.000489,-0.000197,0.999999
1773245342.304651,-0.000341,-0.000137,0.139298,0.001685,-0.000462,-0.000199,0.999998
1773245342.338199,-0.000368,-0.000088,0.139097,0.001378,-0.000453,-0.000176,0.999999
1773245342.372356,-0.000391,-0.000083,0.139215,0.001301,-0.000482,-0.000177,0.999999
1773245342.404294,-0.000391,-0.000083,0.139215,0.001301,-0.000482,-0.000177,0.999999
1773245342.462166,-0.000297,-0.000144,0.139461,0.000806,-0.000437,-0.000133,1.000000
1773245342.471425,-0.000250,-0.000132,0.139811,0.000766,-0.000433,-0.000127,1.000000
1773245342.504804,-0.000253,-0.000151,0.139528,0.000686,-0.000529,-0.000142,1.000000
1773245342.539555,-0.000252,-0.000093,0.139564,0.000919,-0.000478,-0.000149,0.999999
1773245342.572099,-0.000402,-0.000237,0.139537,0.001329,-0.000544,-0.000189,0.999999
1773245342.604299,-0.000424,-0.000163,0.139625,0.000293,-0.000556,-0.000122,1.000000
1773245342.637679,-0.000332,0.000039,0.139754,0.000002,-0.000520,-0.000096,1.000000
1773245342.672600,-0.000256,-0.000198,0.139683,0.000655,-0.000487,-0.000134,1.000000
1773245342.704261,-0.000371,-0.000071,0.139447,0.000315,-0.000527,-0.000120,1.000000
1773245342.737551,-0.000481,-0.000203,0.139530,0.000378,-0.000526,-0.000124,1.000000
1773245342.772156,-0.000273,-0.000116,0.139544,-0.000347,-0.000492,-0.000069,1.000000
1773245342.804049,-0.000295,-0.000146,0.139551,-0.000300,-0.000475,-0.000070,1.000000
1773245342.837617,-0.000358,-0.000177,0.139483,-0.000262,-0.000501,-0.000075,1.000000
1773245342.872174,-0.000188,-0.000069,0.139782,-0.000175,-0.000545,-0.000090,1.000000
1773245342.908280,-0.000189,-0.000126,0.139480,-0.000333,-0.000538,-0.000080,1.000000
1773245342.937810,-0.000423,-0.000057,0.139638,-0.000643,-0.000552,-0.000059,1.000000
1773245342.971617,-0.000272,-0.000113,0.139694,-0.000258,-0.000519,-0.000079,1.000000
1773245343.005740,-0.000238,-0.000140,0.139562,0.000269,-0.000567,-0.000125,1.000000
1773245343.044606,-0.000340,-0.000108,0.139291,-0.000585,-0.000553,-0.000064,1.000000
1773245343.072395,-0.000495,-0.000152,0.139388,-0.000265,-0.000546,-0.000083,1.000000
1773245343.104400,-0.000495,-0.000152,0.139388,-0.000265,-0.000546,-0.000083,1.000000
1773245343.137687,-0.000307,-0.000163,0.139372,-0.000566,-0.000606,-0.000074,1.000000
1773245343.172172,-0.000442,-0.000091,0.139421,-0.000620,-0.000645,-0.000077,1.000000
1773245343.204232,-0.000314,-0.000035,0.139673,-0.001122,-0.000623,-0.000039,0.999999
1773245343.237626,-0.000292,-0.000039,0.139448,-0.000856,-0.000642,-0.000062,0.999999
1773245343.272197,-0.000272,-0.000157,0.139506,-0.000688,-0.000650,-0.000075,1.000000
1773245343.304249,-0.000492,-0.000142,0.139552,-0.000545,-0.000668,-0.000089,1.000000
1773245343.337598,-0.000337,-0.000108,0.139689,-0.000562,-0.000641,-0.000083,1.000000
1773245343.372158,-0.000322,-0.000110,0.139634,-0.000192,-0.000632,-0.000105,1.000000
1773245343.404244,-0.000415,-0.000156,0.139631,0.000060,-0.000701,-0.000136,1.000000
1773245343.437641,-0.000308,-0.000033,0.139535,-0.000366,-0.000659,-0.000099,1.000000
1773245343.472256,-0.000359,-0.000035,0.139502,-0.000184,-0.000662,-0.000113,1.000000
